经度,纬度,海拔,观察点名称,描述
113.650292,40.046643,1149,观察点1,沙板梁
113.651722,40.044825,1136,观察点2,岩浆断层喷出
113.631797,40.040747,1123,观察点3,黄土冲沟
113.630672,40.041594,1111,观察点4,红泥沟
113.628472,40.037675,1173,观察点5,火山群全景
