经度,纬度,海拔,名称,描述
113.750544,40.00981,1016,观察点1,河流阶地面
113.750552,40.026913,1015,观察点2,玄武岩出露点
113.769958,40.044722,1102,观察点3,肖家窑头火山
113.765458,40.045643,1016,观察点4,肖家窑头东支沟
113.755383,40.019369,992,观察点5,大跌水
