经度,纬度,海拔,观察点名称,描述
113.780381,40.0333867,1021,观察点1,湖相沉积层
113.7804,40.033914,1023,观察点2,河湖相地层
113.779467,40036619,1034,观察点3,盖板层
113.778847,40.0338381,1034,观察点4,晚更新世活动断层
113.775092,40.043333,1043,观察点5 ,螺出没
